         115803721 function calls (114589721 primitive calls) in 232.882 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  232.882  232.882 /app/src/applications/em/biot_savart.py:182(serial_biot_savart)
        1    0.113    0.113  232.882  232.882 /app/src/applications/em/biot_savart.py:49(numpy_biot_savart)
        1    0.595    0.595  232.758  232.758 /app/src/applications/em/biot_savart.py:14(_numpy_biot_savart_core)
   559400    9.331    0.000  105.456    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:145(unique)
   620300    8.829    0.000   89.011    0.000 /app/src/mtflib/taylor_function.py:290(__mul__)
320000/200000    2.332    0.000   85.632    0.000 /app/src/mtflib/taylor_function.py:347(__pow__)
  1559700    2.651    0.000   76.650    0.000 /app/src/mtflib/MTFExtended.py:21(__init__)
  1559700    8.455    0.000   73.998    0.000 /app/src/mtflib/taylor_function.py:122(__init__)
299400/199400    4.667    0.000   67.522    0.000 /app/src/mtflib/taylor_function.py:203(__add__)
4458202/4060602   11.847    0.000   60.015    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
  1599700   19.275    0.000   53.854    0.000 /app/src/mtflib/taylor_function.py:468(truncate_inplace)
2619202/2420402    5.000    0.000   52.033    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2338(sum)
   559400   20.923    0.000   48.971    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:348(_unique1d)
4818202/4420602   20.131    0.000   47.449    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   140000    1.821    0.000   45.335    0.000 /app/src/mtflib/taylor_function.py:249(__sub__)
    40000    1.049    0.000   42.330    0.001 /app/src/mtflib/taylor_function.py:534(compose_one_dim)
        1    0.447    0.447   40.488   40.488 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/numeric.py:1556(cross)
    20000    0.131    0.000   35.789    0.002 /app/src/mtflib/taylor_function.py:392(__rtruediv__)
    20000    0.674    0.000   34.648    0.002 /app/src/mtflib/taylor_function.py:400(_inv_mtf_internal)
   380000    1.840    0.000   31.606    0.000 /app/src/mtflib/taylor_function.py:166(from_constant)
    20000    0.270    0.000   30.623    0.002 /app/src/mtflib/taylor_function.py:841(isqrt_taylor)
    20000    0.472    0.000   26.840    0.001 /app/src/mtflib/taylor_function.py:855(isqrt_taylor_1D_expansion)
    60000    0.140    0.000   26.289    0.000 /app/src/mtflib/taylor_function.py:286(__rsub__)
