         9603101 function calls (9559101 primitive calls) in 27.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   27.918   27.918 /app/src/applications/em/biot_savart.py:182(serial_biot_savart)
        1    0.022    0.022   27.918   27.918 /app/src/applications/em/biot_savart.py:49(numpy_biot_savart)
        1    0.093    0.093   27.894   27.894 /app/src/applications/em/biot_savart.py:14(_numpy_biot_savart_core)
64000/40000    0.671    0.000   17.964    0.000 /app/src/mtflib/taylor_function.py:391(__pow__)
   272120   12.662    0.000   16.863    0.000 /app/src/mtflib/taylor_function.py:328(__mul__)
     8000    0.175    0.000    8.676    0.001 /app/src/mtflib/taylor_function.py:580(compose_one_dim)
    56000    0.106    0.000    7.154    0.000 /app/src/mtflib/taylor_function.py:569(_calculate_composed_term)
     4000    0.044    0.000    5.508    0.001 /app/src/mtflib/taylor_function.py:851(isqrt_taylor)
     4000    0.020    0.000    5.505    0.001 /app/src/mtflib/taylor_function.py:441(__rtruediv__)
     4000    0.121    0.000    5.436    0.001 /app/src/mtflib/taylor_function.py:449(_inv_mtf_internal)
     4000    0.085    0.000    5.040    0.001 /app/src/mtflib/taylor_function.py:865(isqrt_taylor_1D_expansion)
   467820    0.612    0.000    4.935    0.000 /app/src/mtflib/MTFExtended.py:21(__init__)
   467820    2.719    0.000    4.322    0.000 /app/src/mtflib/taylor_function.py:125(__init__)
        1    0.074    0.074    3.756    3.756 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/numeric.py:1556(cross)
67700/47700    1.723    0.000    3.734    0.000 /app/src/mtflib/taylor_function.py:227(__add__)
    76000    0.234    0.000    2.941    0.000 /app/src/mtflib/taylor_function.py:189(from_constant)
    28000    0.686    0.000    2.331    0.000 /app/src/mtflib/taylor_function.py:280(__sub__)
   199700    2.275    0.000    2.314    0.000 /app/src/mtflib/taylor_function.py:700(_cleanup_after_operation)
    20002    0.050    0.000    1.723    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2338(sum)
    36002    0.241    0.000    1.670    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    20002    0.064    0.000    1.667    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
    12000    0.019    0.000    1.402    0.000 /app/src/mtflib/taylor_function.py:324(__rsub__)
   411404    1.212    0.000    1.212    0.000 {built-in method numpy.array}
    84000    0.115    0.000    0.873    0.000 {built-in method builtins.any}
   507400    0.644    0.000    0.814    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_type_check_impl.py:270(iscomplexobj)
  2446991    0.641    0.000    0.766    0.000 {built-in method builtins.isinstance}
   216000    0.210    0.000    0.758    0.000 /app/src/mtflib/taylor_function.py:174(<genexpr>)
    12000    0.206    0.000    0.387    0.000 /app/src/mtflib/taylor_function.py:527(truncate)
   424001    0.327    0.000    0.327    0.000 {built-in method numpy.empty}
    12000    0.085    0.000    0.280    0.000 /app/src/mtflib/taylor_function.py:428(__truediv__)
     8000    0.108    0.000    0.240    0.000 /app/src/mtflib/taylor_function.py:503(truncate_inplace)
   204000    0.143    0.000    0.232    0.000 /app/src/mtflib/taylor_function.py:383(__imul__)
    48000    0.086    0.000    0.188    0.000 /app/src/mtflib/taylor_function.py:561(is_zero_mtf)
    16000    0.030    0.000    0.165    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:2589(all)
     4000    0.087    0.000    0.150    0.000 /app/src/mtflib/taylor_function.py:785(_split_constant_polynomial_part)
   271700    0.136    0.000    0.136    0.000 {method 'keys' of 'dict' objects}
    16000    0.050    0.000    0.135    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:89(_wrapreduction_any_all)
    64000    0.031    0.000    0.125    0.000 <frozen abc>:117(__instancecheck__)
     4000    0.058    0.000    0.121    0.000 /app/src/mtflib/taylor_function.py:624(extract_coefficient)
   555842    0.120    0.000    0.120    0.000 {built-in method builtins.len}
    12000    0.042    0.000    0.117    0.000 /app/src/mtflib/taylor_function.py:424(__neg__)
    12120    0.005    0.000    0.116    0.000 /app/src/mtflib/taylor_function.py:379(__rmul__)
   271700    0.101    0.000    0.101    0.000 {method 'values' of 'dict' objects}
   507400    0.099    0.000    0.099    0.000 {built-in method builtins.issubclass}
    64160    0.098    0.000    0.098    0.000 {method 'copy' of 'numpy.ndarray' objects}
   507400    0.094    0.000    0.094    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/lib/_type_check_impl.py:171(_is_type_dispatcher)
    64000    0.072    0.000    0.094    0.000 {built-in method _abc._abc_instancecheck}
    84000    0.046    0.000    0.074    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/multiarray.py:467(lexsort)
    76002    0.071    0.000    0.071    0.000 {built-in method numpy.asarray}
   263700    0.051    0.000    0.051    0.000 /app/src/mtflib/taylor_function.py:101(get_global_etol)
   120002    0.050    0.000    0.050    0.000 {method 'items' of 'dict' objects}
    32001    0.032    0.000    0.032    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    84001    0.029    0.000    0.029    0.000 {built-in method builtins.iter}
    84002    0.023    0.000    0.023    0.000 {built-in method builtins.next}
    12001    0.005    0.000    0.021    0.000 <frozen abc>:121(__subclasscheck__)
   120000    0.021    0.000    0.021    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/multiarray.py:698(result_type)
    28000    0.018    0.000    0.018    0.000 /app/src/mtflib/taylor_function.py:117(_generate_exponent)
    12001    0.016    0.000    0.016    0.000 {built-in method _abc._abc_subclasscheck}
    28000    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
     4000    0.007    0.000    0.007    0.000 {built-in method builtins.min}
