         72420 function calls (71299 primitive calls) in 0.113 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    0.109    0.109 /app/src/applications/em/plotting.py:31(_plot_coil_geometry)
       41    0.001    0.000    0.092    0.002 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:1950(plot)
       44    0.001    0.000    0.050    0.001 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:597(auto_scale_xyz)
       44    0.001    0.000    0.043    0.001 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:611(autoscale_view)
       41    0.001    0.000    0.041    0.001 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_axes.py:1532(plot)
      132    0.001    0.000    0.035    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:677(_set_bound3d)
      132    0.001    0.000    0.032    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:768(_set_lim3d)
      132    0.003    0.000    0.031    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axis.py:1195(_set_lim)
       82    0.000    0.000    0.020    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_base.py:227(__call__)
       41    0.001    0.000    0.019    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_base.py:2408(add_line)
       41    0.001    0.000    0.018    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_base.py:396(_plot_args)
       44    0.000    0.000    0.013    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:694(set_xbound)
       82    0.000    0.000    0.013    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_base.py:539(<genexpr>)
       41    0.000    0.000    0.012    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_base.py:335(_make_line)
       44    0.000    0.000    0.012    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:800(set_xlim)
       41    0.002    0.000    0.011    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/lines.py:301(__init__)
       44    0.000    0.000    0.011    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:719(set_ybound)
       44    0.000    0.000    0.011    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:744(set_zbound)
      214    0.000    0.000    0.011    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axis.py:1738(update_units)
  428/214    0.003    0.000    0.010    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/units.py:164(get_converter)
       44    0.000    0.000    0.010    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:872(set_ylim)
       44    0.000    0.000    0.010    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:944(set_zlim)
       44    0.001    0.000    0.010    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/artist.py:784(set_clip_path)
      173    0.001    0.000    0.009    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_base.py:2624(_process_unit_info)
        3    0.000    0.000    0.009    0.003 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/__init__.py:1521(inner)
        3    0.000    0.000    0.009    0.003 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/mpl_toolkits/mplot3d/axes3d.py:3208(quiver)
      252    0.003    0.000    0.009    0.000 /app/src/mtflib/taylor_function.py:188(eval)
      396    0.004    0.000    0.007    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/transforms.py:2838(nonsingular)
       41    0.000    0.000    0.007    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_base.py:2436(_update_line_limits)
       44    0.000    0.000    0.007    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/patches.py:307(get_transform)
       44    0.001    0.000    0.006    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/patches.py:800(get_patch_transform)
      264    0.000    0.000    0.006    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/ticker.py:1714(nonsingular)
      264    0.001    0.000    0.005    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axis.py:701(_get_shared_axes)
       41    0.000    0.000    0.005    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/lines.py:1049(get_path)
       41    0.001    0.000    0.005    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/lines.py:686(recache)
2156/1332    0.002    0.000    0.005    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/artist.py:315(stale)
      396    0.002    0.000    0.005    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axis.py:711(_get_axis_name)
     5819    0.002    0.000    0.004    0.000 {built-in method builtins.isinstance}
      510    0.001    0.000    0.004    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/cbook.py:2368(_unpack_to_numpy)
      390    0.001    0.000    0.004    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/artist.py:102(_stale_axes_callback)
      264    0.001    0.000    0.004    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axes/_base.py:3733(_validate_converted_limits)
       88    0.000    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/transforms.py:922(update_from_data_xy)
     1562    0.001    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/__init__.py:781(__getitem__)
      500    0.001    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:69(_wrapreduction)
      434    0.001    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/figure.py:65(_stale_figure_callback)
      132    0.000    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/axis.py:2349(setter)
       44    0.000    0.000    0.003    0.000 /home/jules/.pyenv/versions/3.12.11/lib/python3.12/site-packages/matplotlib/transforms.py:884(update_from_data_x)
